"sample"	"strain"	"median"
"T12_AB16_I0_REP3"	"1875"	705
"T12_AB16_I0_REP3"	"1842"	0
"T12_AB16_I0_REP3"	"2948"	0
"T12_AB16_I1_REP1"	"RP4"	0
"T12_AB16_I1_REP1"	"1972"	341
"T12_AB16_I1_REP1"	"6"	0
"T12_AB16_I1_REP1"	"K12"	0
"T12_AB16_I1_REP1"	"2494"	0
"T12_AB16_I1_REP1"	"2159"	0
"T12_AB16_I1_REP1"	"2792"	0
"T12_AB16_I1_REP1"	"2443"	38
"T12_AB16_I1_REP1"	"1292"	5
"T12_AB16_I1_REP1"	"3172"	5
"T12_AB16_I1_REP1"	"1988"	0
"T12_AB16_I1_REP1"	"2659"	3
"T12_AB16_I1_REP1"	"1279"	0
"T12_AB16_I1_REP1"	"1992"	1
"T12_AB16_I1_REP1"	"1966"	0
"T12_AB16_I1_REP1"	"97"	0
"T12_AB16_I1_REP1"	"2164"	0
"T12_AB16_I1_REP1"	"1896"	37
"T12_AB16_I1_REP1"	"105"	13
"T12_AB16_I1_REP1"	"1874"	10
"T12_AB16_I1_REP1"	"1923"	7
"T12_AB16_I1_REP1"	"1287"	288
"T12_AB16_I1_REP1"	"3031"	15
"T12_AB16_I1_REP1"	"216"	2
"T12_AB16_I1_REP1"	"1299"	0
"T12_AB16_I1_REP1"	"1977"	519
"T12_AB16_I1_REP1"	"2160"	4
"T12_AB16_I1_REP1"	"3237"	0
"T12_AB16_I1_REP1"	"403"	13
"T12_AB16_I1_REP1"	"2467"	0
"T12_AB16_I1_REP1"	"262"	0
"T12_AB16_I1_REP1"	"1875"	402
"T12_AB16_I1_REP1"	"1842"	9
"T12_AB16_I1_REP1"	"2948"	0
"T12_AB16_I1_REP2"	"RP4"	0
"T12_AB16_I1_REP2"	"1972"	300
"T12_AB16_I1_REP2"	"6"	0
"T12_AB16_I1_REP2"	"K12"	0
"T12_AB16_I1_REP2"	"2494"	0
"T12_AB16_I1_REP2"	"2159"	0
"T12_AB16_I1_REP2"	"2792"	0
"T12_AB16_I1_REP2"	"2443"	34
"T12_AB16_I1_REP2"	"1292"	7
"T12_AB16_I1_REP2"	"3172"	4
"T12_AB16_I1_REP2"	"1988"	0
"T12_AB16_I1_REP2"	"2659"	0
"T12_AB16_I1_REP2"	"1279"	0
"T12_AB16_I1_REP2"	"1992"	1
"T12_AB16_I1_REP2"	"1966"	0
"T12_AB16_I1_REP2"	"97"	0
"T12_AB16_I1_REP2"	"2164"	0
"T12_AB16_I1_REP2"	"1896"	40
"T12_AB16_I1_REP2"	"105"	14
"T12_AB16_I1_REP2"	"1874"	8
"T12_AB16_I1_REP2"	"1923"	9
"T12_AB16_I1_REP2"	"1287"	211
"T12_AB16_I1_REP2"	"3031"	12
"T12_AB16_I1_REP2"	"216"	2
"T12_AB16_I1_REP2"	"1299"	0
"T12_AB16_I1_REP2"	"1977"	433
"T12_AB16_I1_REP2"	"2160"	7
"T12_AB16_I1_REP2"	"3237"	0
"T12_AB16_I1_REP2"	"403"	25
"T12_AB16_I1_REP2"	"2467"	0
"T12_AB16_I1_REP2"	"262"	0
"T12_AB16_I1_REP2"	"1875"	396
"T12_AB16_I1_REP2"	"1842"	12
"T12_AB16_I1_REP2"	"2948"	0
"T12_AB16_I1_REP3"	"RP4"	0
"T12_AB16_I1_REP3"	"1972"	306
"T12_AB16_I1_REP3"	"6"	0
"T12_AB16_I1_REP3"	"K12"	0
"T12_AB16_I1_REP3"	"2494"	0
"T12_AB16_I1_REP3"	"2159"	0
"T12_AB16_I1_REP3"	"2792"	0
"T12_AB16_I1_REP3"	"2443"	37
"T12_AB16_I1_REP3"	"1292"	7
"T12_AB16_I1_REP3"	"3172"	4
"T12_AB16_I1_REP3"	"1988"	0
